,AGEP_imp_mean,AGEP_imp_std,COW_imp_mean,COW_imp_std,MAR_imp_mean,MAR_imp_std,OCCP_imp_mean,OCCP_imp_std,POBP_imp_mean,POBP_imp_std,RAC1P_imp_mean,RAC1P_imp_std,RELP_imp_mean,RELP_imp_std,SCHL_imp_mean,SCHL_imp_std,SEX_imp_mean,SEX_imp_std,WKHP_imp_mean,WKHP_imp_std,model_name
meta-llama--Meta-Llama-3-8B,0.015657949130777983,0.0006133642734773055,0.0017789949240750503,0.0008633458471187476,0.006223232961838488,0.0005023981412770433,0.08836994817834225,0.0012195961322518612,0.0032076826702235107,0.0009885973085582425,0.0017304214503046866,0.0009048413360957812,0.0018204882651114529,0.0005268589582872423,0.04348222076503867,0.0022848050143258612,0.006250867716684682,0.0006101652182996057,0.03897537961205413,0.0006496633324162001,Llama 3 8B
meta-llama--Meta-Llama-3-8B-Instruct,0.013546438330908562,0.0003002984865822274,0.0043887539314718445,0.00016444898659453207,0.003988747425151695,0.00016610783759519999,0.08025645040056777,0.00045025096591043374,0.0018298325474742194,0.00021453926686543248,0.0017337259269265548,0.0004856183441053412,0.00033739717090759403,5.6978538505749055e-05,0.0640210917978317,0.001694070977494694,0.004039885172780644,0.00011114430674150446,0.03649214862574808,0.0007710673222194962,Llama 3 8B (it)
mistralai--Mistral-7B-v0.1,0.0075267953400316,0.0005796221308243386,0.0034989602328241664,0.0005079390642056978,0.002849828845216429,0.0003456561031168352,0.07600878284789706,0.0010287906542466741,0.002496831434557656,0.0008717171953759221,-1.571375824218624e-05,0.0002707266044903304,0.006022902371111893,0.0002543461366918465,0.07857940441170785,0.0017387003848350585,0.00247572010532513,0.00024466946099902035,0.017917452276826264,0.0007829252051676106,Mistral 7B
mistralai--Mistral-7B-Instruct-v0.2,0.006654429062326206,0.00024966146631734355,0.00368434370388524,0.0005513956643083963,0.005087388711447716,0.00010627084107482763,0.08500084065885272,0.0016466059848044866,0.0009355945221513728,8.019329572263145e-05,0.000654863293880048,0.0004795012755854743,0.004786951917175019,0.00025828747325447234,0.06259026897102368,0.0012960782330484234,0.0005316195337893292,0.0001540318354011779,0.031787889486607955,0.0010071768506371504,Mistral 7B (it)
mistralai--Mixtral-8x22B-v0.1,0.005571863860414994,0.00029491694176725,0.0036317566516860245,0.00045320152543179527,0.006853486068886361,0.00016968889733923707,0.074638177692951,0.0020173456220134597,0.00241210776406775,0.0001562714280333964,0.0016451799488899966,0.0005985383622698399,0.008606670309210718,0.0005890197451311043,0.05146817041035099,0.0015846628293733852,0.007416741495567947,0.00022888529916525086,0.04215599200979112,0.0009890638396611183,Mixtral 8x22B
mistralai--Mixtral-8x22B-Instruct-v0.1,0.006563136869835495,0.0002991512822552345,0.002736748877690753,0.0005114850601570383,0.0042855283019946015,0.0002594694272483964,0.09184868656928824,0.002021224109677242,0.0017869863148326282,0.0002539227480501681,0.0016240779499442804,0.0003585682714973639,0.001830093795508314,0.00029221387201502403,0.044336814401185864,0.0019190915769727816,0.0033613960373399367,0.00016377643479135987,0.05266284367489882,0.000988692377957704,Mixtral 8x22B (it)
mistralai--Mixtral-8x7B-v0.1,0.010138519927875511,0.0013889145424155873,0.0019106810387918393,0.0004932957081877705,0.006959055155431271,0.0006080459854453261,0.05757592552092226,0.0012095242362479865,0.0015647419901974491,0.0006146877149056577,0.0005708207343358529,0.00028326950101653094,0.004752163942347232,0.00141070577890588,0.067477855808004,0.002001511187311945,0.007476080565410381,0.0006083743718979728,0.04917079096450037,0.002145321389977337,Mixtral 8x7B
mistralai--Mixtral-8x7B-Instruct-v0.1,0.010487217631306467,0.00042449741302592886,0.004367303601814232,0.0003482830962555359,0.006305851097577619,0.00021759742717056803,0.08207598075622102,0.0009262218249831218,0.0016624238741890008,0.000329650949128074,0.0010035656624540978,0.00038979703023431987,0.003324598940726342,0.0002142778113982254,0.059531765148467294,0.0012759213507950425,0.0024565774666355455,0.00011966000388869884,0.05230992712672693,0.0008486128422862385,Mixtral 8x7B (it)
01-ai--Yi-34B,0.0016234326050983405,0.00019225565167126172,0.0014375779545473533,0.00025021156473027455,0.007409949046681153,0.00044603933518373956,0.09520722598377936,0.0015395918765842174,0.0008886009769682124,0.00014423842146431512,0.0015685005407835907,0.0005667157795447263,0.0073670810433699606,0.00023428019114111266,0.04343989858351327,0.0020705269350765635,0.006107081774864476,0.00034266669751498266,0.044402854172093886,0.0014871545138111894,Yi 34B
01-ai--Yi-34B-Chat,0.006373666733098337,0.00010739706504882858,0.0032995160193562967,0.0004921282128932748,0.006610089983775302,0.0005446470137028722,0.08879356653079284,0.0011144900786650295,0.0014410939176730197,0.00020446883524241982,0.0027317711696124513,0.0006587888872055339,0.0035217618990393664,0.00016046074444455523,0.04272461235145879,0.002031536102818237,0.004527740995713225,0.00014621446788890729,0.05739644501139414,0.001318181691864093,Yi 34B (chat)
GBM,0.058976673821076096,0.0004903207365159156,0.006774393240584975,0.00013311528311224047,0.0019919293312123942,2.9400616513872705e-05,0.06244227422844837,0.0003993329229856831,0.0047475268544617585,5.95445163608423e-05,0.0008500628028386581,2.901833670835246e-05,0.013080218292120693,0.00036784336029523285,0.03874732130970617,0.0004013124992280864,0.01353616802357276,0.00015061991906094226,0.07556571530421066,0.0006628332348886403,GBM
LR,0.0025973590855089767,3.1314087692005315e-05,-0.00016397562842862534,8.51038993083842e-06,0.0221938149333188,0.00042166221676567713,0.09246507798640871,0.0008685733959372043,0.00260016582064726,0.0001418428417449589,0.00041971732957255534,6.276947045643766e-05,0.048872116338288675,0.000638937302894119,-0.0006070164208499928,7.421256552008454e-06,0.00308460183932866,4.4485485136384846e-05,0.0726244689625912,0.0004480113037342547,LR
XGBoost,0.05488350403839133,0.0003284242104709523,0.008390738816703625,0.00024317691664703988,0.002585151523716811,5.038471698083341e-05,0.07554781500477988,0.0003729470615739276,0.00658376316619178,0.00010909227400107802,0.0012756018366665734,5.0849075394671674e-05,0.013441208952242966,0.00017036887613903,0.03494137134222928,0.0002797178193473051,0.013155892159056326,0.00016682695656015703,0.07146246647543719,0.0005290000360194311,XGBoost
